name,D_deg_unw,D_deg_wm,D_er_unw,D_er_wm,I_real,dataset_type,N,E,mean_degree,is_weighted,lambda2,clustering,modularity,I_deg,I_ER,measured,cat
Bangkok_networkx_unit_edge.txt,0.08499486621819781,0.04668372893658764,0.0912132138577098,0.07062041144698207,0.003938311563693808,shl_road_2km,854.0,1084.0,2.53864168618267,True,0.0020494017272122,0.0051522248243559,0.8803985768922312,0.04668372893658764,0.07062041144698207,True,Road
Beijing_networkx_unit_edge.txt,0.10577935292452781,0.08879122045746395,0.09208623615201615,0.0755068040218588,1.0675549878457616e-05,shl_road_2km,678.0,898.0,2.6489675516224187,True,0.003284998600939,0.001229105211406,0.859096840468703,0.08879122045746395,0.0755068040218588,True,Road
Chilean_power_grid_with_tap_(Seung-Woo_Son).csv.cleaned.tsv,0.06290366030102106,0.05524618955837615,0.06937006110689703,0.05083465513938936,0.012855630970017946,tehnological_power_grid,304.0,384.0,2.526315789473684,True,0.0069875255694651,0.0870393312827523,0.7886052995886543,0.05524618955837615,0.05083465513938936,True,Power
Chilean_power_grid_without_tap_(Seung-Woo_Son).csv.cleaned.tsv,0.08338378900086936,0.07283410944695602,0.09983231623134346,0.05061956566325074,0.013530912212378452,tehnological_power_grid,280.0,358.0,2.557142857142857,True,0.0071404268341366,0.0842006802721088,0.8460441731544366,0.07283410944695602,0.05061956566325074,True,Power
Delhi_networkx_unit_edge.txt,0.04210192780637577,0.061128401740481154,0.07577085738814339,0.03146019195880162,0.05621852323969884,shl_road_2km,405.0,482.0,2.380246913580247,True,0.0038484553704228,0.031275720164609,0.8582791131441695,0.061128401740481154,0.03146019195880162,True,Road
Dhaka_networkx_unit_edge.txt,0.03827132634019573,0.03689479714811095,0.020922774362997276,0.06746172262234855,0.06238606974365745,shl_road_2km,300.0,310.0,2.066666666666667,True,0.0025544614431514,0.0,0.8755478011991202,0.03689479714811095,0.06746172262234855,True,Road
ENZYMES-g295.edges,0.040785860610963856,0.040785860610963856,0.048812186518219676,0.048812186518219676,0.03333410835608035,Chemistry,123.0,139.0,2.2601626016260163,False,0.0104205620624133,0.0059620596205962,0.7392215723823818,0.040785860610963856,0.048812186518219676,True,Chemistry
ENZYMES-g296.edges,0.042225727142468306,0.042225727142468306,0.05753801122808975,0.05753801122808975,0.024419323103220272,Chemistry,125.0,141.0,2.256,False,0.0100693928272521,0.0058666666666666,0.7679694180373221,0.042225727142468306,0.05753801122808975,True,Chemistry
ENZYMES-g297.edges,0.04032650375130492,0.04032650375130492,0.04264585033915009,0.04264585033915009,0.020982303710398022,Chemistry,121.0,149.0,2.462809917355372,False,0.0117273859375775,0.0512003148366784,0.7135264177289311,0.04032650375130492,0.04264585033915009,True,Chemistry
Global_air_network(2023)_edge_list.txt.cleaned.tsv,0.1291164828781104,0.09569232864180927,0.1628841686188572,0.1370147124787334,0.05668311220950707,transportation_airport,3231.0,18905.0,11.702259362426494,True,0.050626015180653,0.4889363677066082,0.6037440742878359,0.09569232864180927,0.1370147124787334,True,Transportation
Guangzhou_networkx_unit_edge.txt,0.0553084798374087,0.04727981573401307,0.06885967806272793,0.06398019888539488,0.016787271464012918,shl_road_2km,159.0,189.0,2.3773584905660377,True,0.0104037602881349,0.0,0.61598962084996,0.04727981573401307,0.06398019888539488,True,Road
HongKong_networkx_unit_edge.txt,0.12212242399021878,0.08976172964348149,0.09564291384369078,0.05718283430574475,0.008430015567421224,shl_road_2km,1112.0,1479.0,2.6600719424460437,True,0.002743826492581,0.0105215827338129,0.8933380332289365,0.08976172964348149,0.05718283430574475,True,Road
Jakarta_networkx_unit_edge.txt,0.04842398246231267,0.06220684817052466,0.09397485838564357,0.06651876954314265,0.0002106182812509257,shl_road_2km,232.0,291.0,2.5086206896551726,True,0.0073913534807778,0.0,0.8462556750509788,0.06220684817052466,0.06651876954314265,True,Road
Karachi_networkx_unit_edge.txt,0.06677733707950836,0.07061219181981859,0.06165114939060171,0.052993561847654046,9.249620578235846e-05,shl_road_2km,316.0,419.0,2.651898734177215,True,0.0034840197738342,0.0116033755274261,0.8360625205834186,0.07061219181981859,0.052993561847654046,True,Road
Kolkata_networkx_unit_edge.txt,0.10514214525603742,0.08857221971791428,0.08962739020181294,0.08671191244124685,0.00018266326024996078,shl_road_2km,1426.0,1856.0,2.603085553997195,True,0.0024492148209751,0.0,0.892213384368734,0.08857221971791428,0.08671191244124685,True,Road
Manila_networkx_unit_edge.txt,0.11195180704989627,0.08289012619250555,0.09314484126194526,0.06318780489537408,9.762304174339235e-07,shl_road_2km,733.0,1027.0,2.802182810368349,True,0.0047241760855226,0.009731696225557,0.8087209405879918,0.08289012619250555,0.06318780489537408,True,Road
Mumbai_networkx_unit_edge.txt,0.08792963492435979,0.07197562192870968,0.11573594031066449,0.07701864494898417,0.020168494688806358,shl_road_2km,507.0,727.0,2.8678500986193294,True,0.0062766730517166,0.008284023668639,0.832220991779556,0.07197562192870968,0.07701864494898417,True,Road
Nagoya_networkx_unit_edge.txt,0.12309726519574357,0.10254134131113236,0.10998945263335756,0.07545091315361907,0.00036611218260793125,shl_road_2km,566.0,947.0,3.3462897526501765,True,0.0107846706753213,0.0087161366313309,0.7852556294570736,0.10254134131113236,0.07545091315361907,True,Road
Openflights_airport_network_(2010)_edge_list.txt.cleaned.tsv,0.12870841337415845,0.09910258206105554,0.16127294155675237,0.13694912330500997,0.05256239156632087,transportation_airport,2905.0,15645.0,10.771084337349398,True,0.0408032902741222,0.4555169182348469,0.6051101802221119,0.09910258206105554,0.13694912330500997,True,Transportation
Osaka_networkx_unit_edge.txt,0.0888388607951387,0.09030197236834861,0.1146917478130713,0.10837178933149477,2.7994698336531875e-05,shl_road_2km,676.0,1029.0,3.044378698224852,True,0.004070088474716,0.0044378698224852,0.8135305431115863,0.09030197236834861,0.10837178933149477,True,Road
Seoul_networkx_unit_edge.txt,0.11137115434864239,0.10746111150866759,0.10316956018395966,0.08134504210544746,0.0029475616092095583,shl_road_2km,716.0,1036.0,2.893854748603352,True,0.0019845980858536,0.0023277467411545,0.858600052630828,0.10746111150866759,0.08134504210544746,True,Road
Shanghai_networkx_unit_edge.txt,0.10802091407824577,0.08356078238913692,0.09605708715606708,0.08994329211254702,8.833070537145889e-05,shl_road_2km,2378.0,3012.0,2.5332211942809084,True,0.0019188350716614,0.0015839641155032,0.9130271535623252,0.08356078238913692,0.08994329211254702,True,Road
Shenzhen_networkx_unit_edge.txt,0.02827547601497954,0.051111974351311956,0.05189475128416235,0.05474121524695714,0.038813769292844934,shl_road_2km,93.0,106.0,2.2795698924731185,True,0.0272484864587504,0.0,0.7104857096804751,0.051111974351311956,0.05474121524695714,True,Road
Taipei_networkx_unit_edge.txt,0.1154588473583124,0.1009566588275705,0.10645028803476927,0.08481458775309961,7.088931641124393e-09,shl_road_2km,1014.0,1587.0,3.1301775147928996,True,0.0059127751660374,0.0041091387245233,0.8468604637493502,0.1009566588275705,0.08481458775309961,True,Road
Tehran_networkx_unit_edge.txt,0.10468687660955271,0.090087551260894,0.08065164301544964,0.07505581967296673,0.0004276216082723445,shl_road_2km,435.0,638.0,2.933333333333333,True,0.0080663221719277,0.0057471264367816,0.818190287067458,0.090087551260894,0.07505581967296673,True,Road
Tokyo_networkx_unit_edge.txt,0.12305646083730726,0.11238522933106794,0.1049748397495824,0.10067065850635817,0.0013548215493410405,shl_road_2km,1253.0,1958.0,3.1252992817238625,True,0.0047759434725624,0.0028198989092843,0.8752476858042905,0.11238522933106794,0.10067065850635817,True,Road
US_airport_networks_(2010)_edge_list.txt.cleaned.tsv,0.13120967072452855,0.031582339774821666,0.1714978920424223,0.06085118839443901,0.0591587985295666,transportation_airport,1572.0,17214.0,21.900763358778622,True,0.2179531915931516,0.5047939546538639,0.3105655599495625,0.031582339774821666,0.06085118839443901,True,Transportation
Wuhan_networkx_unit_edge.txt,0.02885795416660108,0.03818524906838169,0.06018689995059406,0.055904147521130446,0.008950914304088472,shl_road_2km,117.0,156.0,2.6666666666666665,True,0.0196369071941349,0.033048433048433,0.559205723185345,0.03818524906838169,0.055904147521130446,True,Road
bio-DM-CX.edges,0.1303739287989182,0.1270744317062721,0.17264162347700585,0.17038965312868368,0.013189169048561634,Biological,4032.0,76712.0,38.0515873015873,True,0.1608791488903997,0.2680881790864886,0.5438852226681073,0.1270744317062721,0.17038965312868368,True,Biological
bio-SC-LC.edges,0.13076820778609294,0.1261539679047854,0.1714055765334242,0.16587988595940872,0.07050740500057123,Biological,1999.0,20447.0,20.457228614307155,True,0.1241397619358077,0.1665119123370128,0.4447836864211463,0.1261539679047854,0.16587988595940872,True,Biological
bio-WormNet-v3-benchmark.edges,0.14288136786682595,0.14288136786682595,0.17326391875254668,0.17326391875254668,0.05593687933374616,Biological,2274.0,78327.0,68.8891820580475,False,0.1675493292613896,0.8543696492083943,0.768703450426625,0.14288136786682595,0.17326391875254668,True,Biological
bio-celegans.mtx,0.10207760536762764,0.10207760536762764,0.1354010389879787,0.1354010389879787,0.07058889640259974,Biological,453.0,2025.0,8.940397350993377,False,0.2580004113501164,0.6464630921565051,0.4016054869684499,0.10207760536762764,0.1354010389879787,True,Biological
bn-fly-drosophila-medulla-1.edges,0.10073733110280884,0.10073733110280884,0.15644849294546312,0.15644849294546312,0.06939643951006462,Brain,1770.0,8905.0,10.062146892655369,False,0.3020082187653576,0.2644822152735207,0.3772782956663086,0.10073733110280884,0.15644849294546312,True,Brain
bn-macaque-rhesus-brain-1.edges,0.1342464342129858,0.1342464342129858,0.1649499830357421,0.1649499830357421,0.05608076474599863,Brain,242.0,3054.0,25.239669421487605,False,0.9391903418907548,0.4500518099852353,0.3069498535207136,0.1342464342129858,0.1649499830357421,True,Brain
